quizId,subjectId,chapterName,timePerQuestion,questions
math-number-system,math,Number System,30,"[{""text"":""Which of the following is a natural number?"",""options"":[""0"",""-1"",""5"",""-3""],""correctAnswer"":2,""xpReward"":10},{""text"":""Which number comes after 999?"",""options"":[""1000"",""998"",""990"",""1010""],""correctAnswer"":0,""xpReward"":10},{""text"":""Which is the smallest whole number?"",""options"":[""0"",""1"",""-1"",""10""],""correctAnswer"":0,""xpReward"":10}]"
math-factors-multiples,math,Factors and Multiples,30,"[{""text"":""Which of the following is a factor of 12?"",""options"":[""5"",""6"",""7"",""9""],""correctAnswer"":1,""xpReward"":10},{""text"":""Which number is a multiple of 8?"",""options"":[""14"",""18"",""24"",""30""],""correctAnswer"":2,""xpReward"":10},{""text"":""How many factors does 6 have?"",""options"":[""2"",""3"",""4"",""5""],""correctAnswer"":2,""xpReward"":10}]"
math-fractions,math,Fractions,30,"[{""text"":""Which fraction represents half?"",""options"":[""1/3"",""1/4"",""1/2"",""2/3""],""correctAnswer"":2,""xpReward"":10},{""text"":""Which fraction is the largest?"",""options"":[""1/5"",""2/5"",""3/5"",""4/5""],""correctAnswer"":3,""xpReward"":10},{""text"":""What is 1/4 + 1/4?"",""options"":[""1/4"",""1/2"",""3/4"",""1""],""correctAnswer"":1,""xpReward"":10}]"
math-decimals,math,Decimals,25,"[{""text"":""What is 0.5 equal to?"",""options"":[""1/5"",""1/2"",""5"",""2""],""correctAnswer"":1,""xpReward"":10},{""text"":""Which is greater?"",""options"":[""0.3"",""0.5"",""0.25"",""0.1""],""correctAnswer"":1,""xpReward"":10},{""text"":""0.75 as a fraction is"",""options"":[""3/4"",""1/4"",""2/3"",""1/3""],""correctAnswer"":0,""xpReward"":10}]"
math-ratio-proportion,math,Ratio and Proportion,30,"[{""text"":""What is the ratio of 2 to 4?"",""options"":[""1:4"",""2:4"",""1:2"",""4:2""],""correctAnswer"":2,""xpReward"":10},{""text"":""Which ratio is equivalent to 3:6?"",""options"":[""1:2"",""2:3"",""3:4"",""6:3""],""correctAnswer"":0,""xpReward"":10}]"
math-basic-algebra,math,Basic Algebra,30,"[{""text"":""What is the value of x in x + 5 = 10?"",""options"":[""3"",""5"",""10"",""15""],""correctAnswer"":1,""xpReward"":10},{""text"":""Which is a variable?"",""options"":[""5"",""7"",""x"",""10""],""correctAnswer"":2,""xpReward"":10}]"
math-geometry-basics,math,Geometry Basics,30,"[{""text"":""How many sides does a triangle have?"",""options"":[""2"",""3"",""4"",""5""],""correctAnswer"":1,""xpReward"":10},{""text"":""Which shape has four equal sides?"",""options"":[""Rectangle"",""Triangle"",""Square"",""Circle""],""correctAnswer"":2,""xpReward"":10}]"
math-mensuration,math,Mensuration,30,"[{""text"":""Perimeter of a square is calculated by"",""options"":[""4 × side"",""side × side"",""2 × side"",""side ÷ 4""],""correctAnswer"":0,""xpReward"":10},{""text"":""Area of a rectangle is"",""options"":[""length × breadth"",""2 × length"",""4 × side"",""length + breadth""],""correctAnswer"":0,""xpReward"":10}]"
math-data-handling,math,Data Handling,25,"[{""text"":""Which graph uses bars?"",""options"":[""Line graph"",""Bar graph"",""Pie chart"",""Pictograph""],""correctAnswer"":1,""xpReward"":10},{""text"":""Data collected in numbers is called"",""options"":[""Qualitative"",""Quantitative"",""Ordinal"",""Nominal""],""correctAnswer"":1,""xpReward"":10}]"
math-basic-arithmetic,math,Basic Arithmetic,25,"[{""text"":""What is 9 × 7?"",""options"":[""56"",""63"",""72"",""49""],""correctAnswer"":1,""xpReward"":10},{""text"":""What is 100 − 35?"",""options"":[""55"",""60"",""65"",""75""],""correctAnswer"":2,""xpReward"":10}]"
